Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,KC middle,KC low,KC high,BB high,BB low,BB middle,MOMSQZE,vol_avg,10_ma
2002-08-12,441.4762817798687,450.9413859052807,441.4762817798687,444.7130432128906,50600,0.0,0,,,,,,,,,
2002-08-13,445.7919950964491,445.7919950964491,436.7192207187986,438.77899169921875,25600,0.0,0,,,,,,,,,
2002-08-14,408.0295450592615,440.3972733932895,408.0295450592615,426.4693298339844,105200,0.0,0,,,,,,,,,
2002-08-15,426.4693298339844,426.4693298339844,426.4693298339844,426.4693298339844,0,0.0,0,,,,,,,,,
2002-08-16,404.59669376842675,432.5506471560635,404.59669376842675,419.4564208984375,143100,0.0,0,,,,,,,,,
2002-08-19,421.7613604198832,423.13453095560595,416.90618860004014,421.4180603027344,68300,0.0,0,,,,,,,,,
2002-08-20,423.8210884419124,434.36512138890356,416.8571165089536,429.2647399902344,53900,0.0,0,,,,,,,,,
2002-08-21,436.47394951686175,436.47394951686175,425.7337358645903,426.61651611328125,33600,0.0,0,,,,,,,,,
2002-08-22,421.85942794236644,430.3436907303042,419.11305708453585,419.94677734375,123100,0.0,0,,,,,,,,,
2002-08-23,418.81885002847514,420.6824407984674,410.4817066438333,411.80584716796875,170900,0.0,0,,,,,,,,,426.49390563964846
2002-08-26,411.4625032289095,416.8571248445448,406.55830176015013,409.74603271484375,136900,0.0,0,,,,,,,,,422.99720458984376
2002-08-27,411.95297571980007,411.95297571980007,408.2748241508733,409.2066345214844,158200,0.0,0,,,,,,,,,420.0399688720703
2002-08-28,431.5697668432168,431.5697668432168,405.0870766051103,409.8931884765625,70400,0.0,0,,,,,,,,,418.3823547363281
2002-08-29,395.033450140986,411.9039160990509,395.033450140986,410.08935546875,77100,0.0,0,,,,,,,,,416.7443572998047
2002-08-30,409.99122709905436,411.95290761149005,401.16366479309386,410.4326171875,54900,0.0,0,,,,,,,,,415.84197692871095
2002-09-02,411.9529459739034,415.778217342801,400.722312021228,407.8334045410156,128100,0.0,0,,,,,,,,,414.48351135253904
2002-09-03,410.9721166444746,410.9721166444746,404.6947442383889,408.127685546875,109700,0.0,0,,,,,,,,,412.36980590820315
2002-09-04,407.0487495417803,411.9529513434885,405.57748900126785,410.2364807128906,66200,0.0,0,,,,,,,,,410.73180236816404
2002-09-05,411.9529926058317,416.8571948987583,410.28555185308653,411.65875244140625,82800,0.0,0,,,,,,,,,409.9029998779297
2002-09-06,411.9530136318161,411.9530136318161,408.1277416346674,411.1192932128906,43500,0.0,0,418.03945941468965,396.04557427620693,440.03334455317236,439.259334347302,397.06891577476836,418.1641250610352,,,409.8343444824219
2002-09-09,411.9529484203501,412.2962485306081,408.9613973156845,411.8548583984375,52200,0.0,0,417.4504497940942,396.988982926475,437.9119166617134,433.8764343408486,399.16599729977634,416.5212158203125,SQZE,,410.04522705078125
2002-09-10,411.8548583984375,411.8548583984375,411.8548583984375,411.8548583984375,0,0.0,0,416.91753632784116,398.50221614698387,435.33285650869846,429.2898163186105,401.0602019919363,415.1750091552734,SQZE,,410.31004943847654
2002-09-11,411.95297377531267,414.89549501656495,410.97213336156193,411.707763671875,33700,0.0,0,416.42136750346344,399.0629070096913,433.7798279972356,427.6255913262434,401.2482703680925,414.43693084716796,SQZE,,410.4915069580078
2002-09-12,411.95293537181936,412.9337756941332,409.2556244854563,412.051025390625,35100,0.0,0,416.0051444450979,399.6468997589676,432.36338913122825,425.7178769013204,401.71415434867964,413.716015625,SQZE,,410.6876739501953
