Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,KC middle,KC low,KC high,BB high,BB low,BB middle,MOMSQZE,vol_avg,10_ma
2017-03-21,600.0,648.9000244140625,558.2999877929688,641.5999755859375,85728445,0,0,,,,,,,,,
2017-03-22,641.5499877929688,657.4500122070312,625.0999755859375,638.5499877929688,15817671,0,0,,,,,,,,,
2017-03-23,637.9000244140625,648.0,628.1500244140625,634.8499755859375,4690121,0,0,,,,,,,,,
2017-03-24,635.4500122070312,640.4500122070312,612.5999755859375,616.9000244140625,4865013,0,0,,,,,,,,,
2017-03-27,615.0,623.0,602.3499755859375,614.4000244140625,3535098,0,0,,,,,,,,,
2017-03-28,617.2000122070312,633.4000244140625,615.0999755859375,628.7999877929688,2981122,0,0,,,,,,,,,
2017-03-29,632.9000244140625,637.0,622.4000244140625,628.25,2407007,0,0,,,,,,,,,
2017-03-30,624.2000122070312,635.0,622.2000122070312,631.8499755859375,1324054,0,0,,,,,,,,,
2017-03-31,634.4000244140625,652.2999877929688,630.0,637.8499755859375,2075789,0,0,,,,,,,,,
2017-04-03,638.0,643.0,633.0,634.25,992545,0,0,,,,,,,,,630.7299926757812
2017-04-05,636.0,645.0999755859375,628.2999877929688,632.1500244140625,820437,0,0,,,,,,,,,629.7849975585938
2017-04-06,632.0,668.4000244140625,630.2000122070312,664.4000244140625,5166823,0,0,,,,,,,,,632.3700012207031
2017-04-07,665.9000244140625,761.3499755859375,664.0,751.2000122070312,16504569,0,0,,,,,,,,,644.0050048828125
2017-04-10,769.0,806.9000244140625,759.0499877929688,774.0999755859375,14333464,0,0,,,,,,,,,659.725
2017-04-11,778.9000244140625,791.0999755859375,768.3499755859375,778.5499877929688,4283589,0,0,,,,,,,,,676.1399963378906
2017-04-12,779.0,782.9000244140625,755.0,762.2000122070312,2435513,0,0,,,,,,,,,689.4799987792969
2017-04-13,756.9000244140625,806.9000244140625,756.0,783.25,6262741,0,0,,,,,,,,,704.9799987792969
2017-04-17,785.9000244140625,789.7000122070312,766.5999755859375,774.0499877929688,2786771,0,0,,,,,,,,,719.2
2017-04-18,774.9000244140625,774.9000244140625,725.0999755859375,730.1500244140625,4750180,0,0,,,,,,,,,728.4300048828125
2017-04-19,735.0,752.0,722.0,732.7999877929688,2052184,0,0,704.0305757992921,632.9035320151364,775.1576195834479,812.8292918607921,556.1857044770985,684.5074981689453,,,738.2850036621094
2017-04-20,740.0,765.0,732.4000244140625,756.2999877929688,3218061,0,0,709.0086150367852,638.4742805138575,779.5429495597128,820.6171244651672,559.8678730934265,690.2424987792969,TRNDu,,750.7
2017-04-21,760.0,765.0,739.0,743.2000122070312,1237439,0,0,712.2649385768086,643.5840375061737,780.9458396474436,825.5307697832263,565.4192302167737,695.475,TRNDu,,758.5799987792968
2017-04-24,748.0,748.0,724.1500244140625,726.2999877929688,1249610,0,0,713.6016099307286,647.0188038499697,780.1844160114875,827.6634457897338,572.4315554309693,700.0475006103516,TRNDu,,756.0899963378906
2017-04-25,731.0,739.9000244140625,721.1500244140625,734.7999877929688,1519949,0,0,715.6205030604658,651.9459775877827,779.2950285331489,828.4401394255261,583.4448581330677,705.9424987792969,TRNDu,,752.1599975585938
2017-04-26,736.4500122070312,753.9500122070312,731.0,747.9000244140625,2080565,0,0,718.6947431893798,656.7976678225588,780.5918185562008,828.8221946086359,596.4128029499578,712.6174987792969,TRNDu,,749.0950012207031
2017-04-27,749.0,749.7000122070312,736.0999755859375,740.0999755859375,614735,0,0,720.7333367509567,662.3059615965991,779.1607119053143,828.2989671309444,608.0660292069463,718.1824981689454,TRNDu,,746.8849975585938
2017-04-28,743.8499755859375,747.0,735.0,736.5,516172,0,0,722.2349237270561,667.2502860881342,777.2195613659779,825.8593196155944,621.3306767222962,723.5949981689453,TRND,,742.2099975585937
2017-05-02,737.25,762.9000244140625,737.25,752.2999877929688,1808851,0,0,725.0982631619049,670.3320844040627,779.8644419197472,823.3952937984193,635.8397037601744,729.6174987792969,TRND,,740.0349975585938
2017-05-03,753.0,762.0,746.7999877929688,756.8499755859375,1083002,0,0,728.1222357737175,675.7926724502533,780.4517990971817,819.9282167388108,651.206780819783,735.5674987792969,TRND,,742.7049926757812
2017-05-04,762.2000122070312,793.0,762.2000122070312,773.25,2607954,0,0,732.4201180809825,678.0935062070523,786.7467299549128,814.3121211581055,670.7228764004882,742.5174987792968,TRND,,746.7499938964844
2017-05-05,778.0,814.4000244140625,766.0999755859375,808.9000244140625,4332891,0,0,739.703918684133,681.1499582319707,798.2578791362953,808.6890570683597,694.0209404902341,751.3549987792969,TRND,,752.0099975585938
2017-05-08,823.6500244140625,824.5,770.2000122070312,780.1500244140625,3972924,0,0,743.5559287536502,679.9973667881104,807.1144907191899,799.6490959353065,714.6359016232872,757.1424987792968,SQZE,,755.7049987792968
2017-05-09,782.9000244140625,793.0,775.5999755859375,780.0499877929688,1199297,0,0,747.0315534240615,686.3488427722632,807.7142640758598,802.1323921089015,715.0376030082859,758.5849975585937,SQZE,,761.0799987792968
2017-05-10,781.9000244140625,795.0,780.0,790.8499755859375,1251054,0,0,751.2047364870973,693.5902969004788,808.8191760737158,804.739523055678,714.1054720615094,759.4224975585937,SQZE,,766.6849975585938
2017-05-11,789.7000122070312,790.5,756.0,761.7999877929688,1038372,0,0,752.2138080400374,693.3908172948933,811.0367987851815,803.0685393502841,714.1014557669033,758.5849975585937,SQZE,,768.0749938964843
2017-05-12,763.9000244140625,768.0,736.7000122070312,751.7999877929688,1137225,0,0,752.1743965879356,692.9737073587121,811.3750858171591,802.610450545668,713.5195421301133,758.0649963378906,SQZE,,769.2449951171875
2017-05-15,755.5,761.4500122070312,744.0,752.1500244140625,617269,0,0,752.1720754285191,695.4014526808116,808.9426981762265,799.5769907487687,713.4430043684189,756.5099975585938,SQZE,,770.8099975585938
2017-05-16,752.0999755859375,757.9000244140625,741.0,750.4000244140625,600525,0,0,752.0033086652375,697.5297433094884,806.4768740209865,797.6962236759108,712.9587751033861,755.3274993896484,SQZE,,770.6200012207031
2017-05-17,751.7000122070312,756.9000244140625,742.9000244140625,744.9000244140625,458274,0,0,751.3268054032208,699.5005965830466,803.153014223395,797.1490421591881,714.9809566201087,756.0649993896484,SQZE,,769.4250061035157
2017-05-18,739.9500122070312,748.0,724.5,727.4500122070312,698857,0,0,749.0528250988218,697.709237160665,800.3964130369786,797.5482334575149,714.0467677631882,755.7975006103516,SQZE,,764.8450073242187
2017-05-19,730.0,738.6500244140625,713.6500244140625,722.9000244140625,686573,0,0,746.5620821764638,695.3528530321228,797.7713113208049,798.267806100097,709.9871987827155,754.1275024414062,TRNDd,,756.2450073242187
2017-05-22,729.4000244140625,734.5,720.0999755859375,721.5499877929688,361363,0,0,744.1799779494643,695.2116668367448,793.1482890621837,799.219193742928,706.8708086984783,753.0450012207032,TRNDd,,750.3850036621094
2017-05-23,724.9500122070312,725.0,691.5499877929688,708.4000244140625,1362902,0,0,740.772363327045,690.0108808841912,791.5338457698988,800.9806042189869,703.3194018845288,752.1500030517578,TRNDd,,743.2200073242187
2017-05-24,710.4000244140625,722.9000244140625,701.0,714.2000122070312,748251,0,0,738.2416632203771,688.1763241389962,788.307002301758,802.1887792287736,700.0512293161484,751.120004272461,TRNDd,,735.5550109863282
2017-05-25,720.0,720.0,705.5,712.4000244140625,508214,0,0,735.7805547626328,687.82174958939,783.7393599358757,803.1333951159112,695.5566134290108,749.345004272461,TRNDd,,730.6150146484375
2017-05-26,714.0,732.0,709.4500122070312,714.9000244140625,790476,0,0,733.7919328246737,686.1190106101615,781.464855039186,803.8258160957131,692.3441973320213,748.0850067138672,TRNDd,,726.9250183105469
2017-05-29,715.0,719.75,710.0,714.7999877929688,307830,0,0,731.9831761549875,687.1275461619265,776.8388061480485,804.4200805204499,689.5799316865813,747.0000061035156,TRNDd,,723.1900146484375
2017-05-30,715.0,742.8499755859375,710.0,727.8499755859375,912185,0,0,731.5895380055542,684.6494758946118,778.5296001164967,803.7327786584264,687.8222323279018,745.7775054931641,TRNDd,,720.935009765625
2017-05-31,731.7999877929688,750.7999877929688,726.4000244140625,745.1500244140625,883930,0,0,732.8810129016026,685.7549643259731,780.0070614772321,802.9246794405494,687.4603364285913,745.1925079345704,TRNDd,,720.960009765625
2017-06-01,749.9000244140625,782.0,745.0,776.8499755859375,1557053,0,0,737.0685331572536,687.255089439187,786.8819768753201,803.4747313526254,687.270282075109,745.3725067138672,TRND,4463498.78,725.9000061035156
2017-06-02,783.8499755859375,794.5999755859375,776.8499755859375,779.6500244140625,738963,0,0,741.1239132769497,692.7418139306898,789.5060126232096,796.7792172799467,691.0407961477878,743.9100067138672,TRND,2763709.14,731.5750061035156
