EXCHANGE,SCRIPNAME,INDEX,LASTTRADEDTIME
NSE,CIPLA,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYPHARMA|NIFTY200|BIGTRADELIST|NSEPREOPEN|NIFTYGROWSECT15,06/08/2021 15:29:59
NSE,EICHERMOT,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYAUTO|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST,06/08/2021 15:29:59
NSE,HDFCBANK,NIFTY|NIFTY500|NIFTYBANK|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|NIFTYFINSERVICE|BIGTRADELIST|NSEPREOPEN,06/08/2021 15:29:59
NSE,HINDALCO,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYMETAL|NIFTY200|NIFTYCOMMODITIES|BIGTRADELIST|NSEPREOPEN|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,HINDUNILVR,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYFMCG|NIFTYMNC|NIFTY200|NIFTYDIVOPPS50|NIFTYCONSUMPTION|BIGTRADELIST|NSEPREOPEN|NIFTYGROWSECT15|NIFTY50VALUE20,06/08/2021 15:29:58
NSE,KOTAKBANK,NIFTY|NIFTY500|NIFTYBANK|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|NIFTYFINSERVICE|BIGTRADELIST|NSEPREOPEN,06/08/2021 15:29:59
NSE,M&M,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYAUTO|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST|NSEPREOPEN|NIFTYGROWSECT15,06/08/2021 15:29:59
NSE,SBIN,NIFTY|NIFTY500|NIFTYBANK|BIGTRADEPLUS|NIFTY100|NIFTYPSUBANK|NIFTYSERVSECTOR|NIFTY200|NIFTYFINSERVICE|BIGTRADELIST|NSEPREOPEN|NIFTY100LIQ15,06/08/2021 15:29:59
NSE,TATACONSUM,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYFMCG|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST,06/08/2021 15:29:59
NSE,ICICIBANK,NIFTY|NIFTY500|NIFTYBANK|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|NIFTYFINSERVICE|BIGTRADELIST|NSEPREOPEN|NIFTY100LIQ15,06/08/2021 15:29:59
NSE,INDUSINDBK,NIFTY|NIFTY500|NIFTYBANK|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|BIGTRADELIST|NIFTY100LIQ15|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,HCLTECH,NIFTY|NIFTY500|NIFTYIT|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|BIGTRADELIST|NSEPREOPEN|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,BHARTIARTL,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYINFRA|NIFTYSERVSECTOR|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST|NSEPREOPEN|NIFTY100LIQ15,06/08/2021 15:29:59
NSE,TCS,NIFTY|NIFTY500|NIFTYIT|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|NIFTYDIVOPPS50|BIGTRADELIST|NSEPREOPEN|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,JSWSTEEL,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYMETAL|NIFTY200|NIFTYCOMMODITIES|BIGTRADELIST|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,TECHM,NIFTY|NIFTY500|NIFTYIT|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|NIFTYDIVOPPS50|BIGTRADELIST|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,BAJAJ-AUTO,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYAUTO|NIFTY200|NIFTYDIVOPPS50|NIFTYCONSUMPTION|BIGTRADELIST|NSEPREOPEN|NIFTYGROWSECT15|NIFTY50VALUE20,06/08/2021 15:29:59
NSE,SBILIFE,NIFTY|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|NIFTYFINSERVICE|BIGTRADELIST,06/08/2021 15:29:58
NSE,ADANIENT,NIFTYNEXT50|NIFTY500|NIFTYMID100FREE|BIGTRADEPLUS|NIFTY100|NIFTYMETAL|NIFTY200|BIGTRADELIST,06/08/2021 15:29:59
NSE,APOLLOHOSP,NIFTYNEXT50|NIFTY500|NIFTYMID100FREE|BIGTRADEPLUS|NIFTY100|NIFTYINFRA|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST|NIFTYGROWSECT15,06/08/2021 15:29:59
NSE,BAJAJHLDNG,NIFTYNEXT50|NIFTY500|NIFTY100|NIFTY200,06/08/2021 15:29:54
NSE,BERGEPAINT,NIFTYNEXT50|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST,06/08/2021 15:29:59
NSE,DABUR,NIFTYNEXT50|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYFMCG|NIFTY200|NIFTYCONSUMPTION|BIGTRADELIST|NIFTYGROWSECT15,06/08/2021 15:29:59
NSE,AMBUJACEM,NIFTYNEXT50|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTYINFRA|NIFTYMNC|NIFTY200|NIFTYDIVOPPS50|NIFTYCOMMODITIES|BIGTRADELIST|NSEPREOPEN,06/08/2021 15:29:59
NSE,BANDHANBNK,NIFTYNEXT50|NIFTY500|NIFTYBANK|BIGTRADEPLUS|NIFTY100|NIFTYSERVSECTOR|NIFTY200|BIGTRADELIST,06/08/2021 15:29:59
NSE,PEL,NIFTYNEXT50|NIFTY500|BIGTRADEPLUS|NIFTY100|NIFTY200|NIFTYFINSERVICE|BIGTRADELIST,06/08/2021 15:29:59
NSE,PIDILITIND,NIFTYNEXT50|NIFTY500|NIFTYMID100FREE|BIGTRADEPLUS|NIFTY100|NIFTY200|NIFTYCOMMODITIES|BIGTRADELIST,06/08/2021 15:29:59
NSE,SIEMENS,NIFTYNEXT50|NIFTY500|NIFTYMID100FREE|BIGTRADEPLUS|NIFTY100|NIFTYINFRA|NIFTYMNC|NIFTY200|BIGTRADELIST|NSEPREOPEN,06/08/2021 15:29:58
NSE,ADANIGREEN,NIFTYNEXT50|NIFTY500|NIFTY100|NIFTYENERGY|NIFTYSERVSECTOR|NIFTY200|NIFTYCOMMODITIES,06/08/2021 15:29:59
